"en","woeid","zh","prov","low","high"
"beijing",2151330,"北京","北京市",-9,0
"shanghai",2151849,"上海","上海市",4,15
"tianji",2159908,"天津","天津市",-7,0
"chongqing",20070171,"重庆","重庆市",11,16
"harbin",2141166,"哈尔滨","黑龙江省",-24,-12
"changchun",2137321,"长春","吉林省",-23,-9
"shenyang",2148332,"沈阳","辽宁省",-19,-6
"hohhot",2149760,"呼和浩特","内蒙古自治区",-19,-2
"shijiazhuang",2171287,"石家庄","河北省",-7,1
"wulumuqi",26198317,"乌鲁木齐","新疆维吾尔自治区",-17,-9
"lanzhou",2145605,"兰州","甘肃省",-11,4
"xining",2138941,"西宁","青海省",-13,11
"xian",2157249,"西安","陕西省",1,13
"yinchuan",2150551,"银川","宁夏回族自治区",-9,5
"zhengzhou",2172736,"郑州","河南省",-3,6
"jinan",2168327,"济南","山东省",-2,4
"taiyuan",2154547,"太原","山西省",-6,9
"hefei",2127866,"合肥","安徽省",4,11
"wuhan",2163866,"武汉","湖北省",6,13
"changsha",26198213,"长沙","湖南省",9,14
"nanjing",2137081,"南京","江苏省",3,13
"chengdu",2158433,"成都","四川省",10,17
"guiyang",2146703,"贵阳","贵州省",11,17
"kunming",2160693,"昆明","云南省",3,18
"nanning",2166473,"南宁","广西壮族自治区",16,23
"lasa",26198235,"拉萨","西藏自治区",-4,7
"hangzhou",2132574,"杭州","浙江省",6,17
"nanchang",26198151,"南昌","江西省",11,18
"guangzhou",2161838,"广州","广东省",17,25
"fuzhou",2139963,"福州","福建省",13,24
"taipei",2306179,"台北","台湾省",18,24
"haikou",2162779,"海口","海南省",18,24
"hongkong",24865698,"香港","香港特别行政区",18,23
